"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"LOT2_young_leaf_endophyte vs LOT2_root_epiphyte",1,3.94135500098795,11.1764414817137,0.0820732379265064,0.001,0.001,"**"
"LOT3_old_leaf_endophyte vs LOT3_young_leaf_epiphyte",1,3.89872261698489,11.9312962611838,0.0801127537375332,0.001,0.001,"**"
"LOT3_old_leaf_epiphyte vs LOT3_young_leaf_endophyte",1,3.48419892491501,10.2544036117726,0.0775354417828991,0.001,0.001,"**"
"LOT3_old_leaf_endophyte vs LOT3_old_leaf_epiphyte",1,3.55365439605854,10.7275378903395,0.0751609538628889,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT1_young_leaf_epiphyte",1,3.38566068760639,10.078148690786,0.0709338401693261,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT1_root_epiphyte",1,2.93709443965821,9.35372690045931,0.0634780476694557,0.001,0.001,"**"
"LOT3_young_leaf_endophyte vs LOT3_young_leaf_epiphyte",1,2.84188280289586,8.49372564381398,0.0626872248397855,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT1_old_leaf_epiphyte",1,2.68956252085785,7.96914900663117,0.0573447348824947,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT1_old_leaf_epiphyte",1,2.52272984841139,7.65507339915864,0.0572748434045365,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT1_young_leaf_epiphyte",1,1.82783828077728,5.57275805238709,0.0420354689323502,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT1_old_leaf_epiphyte",1,1.48135537693614,4.78903587716539,0.0406577389949907,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT2_old_leaf_endophyte",1,1.5537384109488,4.44588335599845,0.0328240567069369,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT2_root_epiphyte",1,1.50322958521613,4.40293966441812,0.0322789206394697,0.001,0.001,"**"
"LOT3_old_leaf_epiphyte vs LOT3_young_leaf_epiphyte",1,1.37497728206123,4.35178384866898,0.0307869043472985,0.001,0.001,"**"
"LOT3_root_endophyte vs LOT3_root_epiphyte",1,1.48021830125277,3.9319110360032,0.0271293672173166,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT1_old_leaf_endophyte",1,1.31696280459996,3.75062551825362,0.0252141831685499,0.001,0.001,"**"
"LOT3_old_leaf_endophyte vs LOT3_young_leaf_endophyte",1,0.796007142026454,2.26195042167549,0.0182030815869194,0.001,0.001,"**"
