LOT-SampleCode;Genus;Species;Family;TreeZone
LOT03-06522/R;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT03-06522/D;Cochlidium;Cochlidium serrulatum;Aspleniaceae;5
LOT01-3406/H1;Codonanthopsis;Codonanthopsis crassifolia;Gesneriaceae;0
LOT01-3406/H2;Codonanthopsis;Codonanthopsis crassifolia;Gesneriaceae;0
LOT01-3426/H2;Coussapoa;Coussapoa tessmannii;Urticaceae;0
LOT01-3426/H1;Coussapoa;Coussapoa tessmannii;Urticaceae;0
LOT03-45452/O;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45452/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45420/P;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45415/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-455104/P;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;5
LOT03-455104/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;5
LOT03-455104/F;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;5
LOT03-21494/O;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45435/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45420/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45420/C;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45403/P;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45448/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-45403/H;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-455104/C;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;5
LOT03-21580/O;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;5
LOT03-45403/C;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-454443/O;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;4
LOT03-456365/O;Crocodeilanthe;Crocodeilanthe galeata;Orchidaceae;6
LOT02-455161/H;Cryptocentrum;Cryptocentrum inaequisepalum;Orchidaceae;5
LOT03-064130/H;Cyathea;Cyathea gracilis;Cyatheaceae;4
LOT03-064130/R;Cyathea;Cyathea gracilis;Cyatheaceae;4
LOT03-064130/D;Cyathea;Cyathea gracilis;Cyatheaceae;4
LOT03-064139;Cyathea;Cyathea gracilis;Cyatheaceae;4
LOT03-064130/T;Cyathea;Cyathea gracilis;Cyatheaceae;4
LOT03-061142/H;Cyathea;Cyathea tortuosa;Cyatheaceae;1
LOT03-061142/R;Cyathea;Cyathea tortuosa;Cyatheaceae;1
LOT03-061142/T;Cyathea;Cyathea tortuosa;Cyatheaceae;1
