LOT-SampleCode;TreeZone
LOT02-45448;4
LOT02-45657;6
LOT02-45657;6
LOT01-34381;0
LOT01-3438;0
LOT01-34091;0
LOT02-456190;6
LOT02-45630;6
LOT02-45529;5
LOT01-34721;0
LOT01-3472;0
LOT02-456119;6
LOT02-18599;5
LOT02-453145;3
LOT02-455102;5
LOT02-212127;2
LOT02-18682;6
LOT02-10513;5
LOT02-45596;5
LOT02-21397;3
LOT01-34601;0
LOT01-34602;0
LOT02-45673;6
LOT02-18633;6
LOT02-18692;6
LOT02-18694;6
LOT02-18659;6
LOT02-18682;6
LOT02-18649;6
LOT02-45567;5
LOT02-45466;4
LOT02-21563;5
LOT02-18588;5
LOT02-18693;6
LOT02-18586;5
LOT02-45677;6
LOT02-45676;6
LOT02-456191;6
LOT02-18592;5
LOT02-45581;5
LOT02-45579;5
LOT02-45578;5
LOT03-21559;5
LOT03-21565;5
LOT03-215221;5
LOT03-21646;6
LOT03-456138;6
LOT03-456138;6
LOT03-455317;5
LOT03-456363;6
LOT01-34671;0
LOT03-455343;5
LOT03-45688;6
LOT02-18626;6
LOT02-45574;5
LOT02-45574;5
LOT02-45572;5
LOT02-45572;5
LOT03-456101;6
LOT03-456101;6
LOT03-21560;5
LOT03-456101;6
LOT03-456101;6
LOT03-21588;5
LOT03-456107;6
LOT03-456107;6
LOT03-456407;6
LOT03-456107;6
LOT03-456414;6
LOT03-456372;6
LOT03-456132;6
LOT03-456132;6
LOT03-21682;6
LOT03-21681;6
LOT03-456430;6
LOT03-45684;6
LOT03-456418;6
LOT03-216247;6
LOT03-216247;6
LOT03-456141;6
LOT03-456141;6
LOT03-45554;5
LOT03-45554;5
LOT03-45554;5
LOT03-45554;5
LOT02-18584;5
LOT02-18592;5
LOT02-18599;5
LOT02-18587;5
LOT02-18520;5
LOT02-18689;6
LOT02-18521;5
LOT02-21617;6
LOT02-21502;5
LOT02-45445;4
LOT02-45445;4
LOT03-21537;5
LOT03-21537;5
LOT03-216240;6
LOT03-216240;6
LOT03-216210;6
LOT03-456128;6
LOT03-456128;6
LOT03-456128;6
