""	"old_leaf"	"root"	"young_leaf"
"1042"	100	45	371
"1043"	0	223	96
"1044"	162	4	33
"1045"	0	119	0
"1046"	0	147	0
"1047"	10	14	11
"1048"	4143	8005	4287
"1049"	320	9	451
"1050"	123	28	6
"1051"	26	33	54
"1052"	25	2145	3
"1053"	2999	36	117
"1054"	0	0	0
"1055"	28	18	103
"1056"	29	33	193
"1057"	27	18	0
"1058"	29	2504	40
"1059"	5	2140	27
"1060"	0	2139	0
"1061"	52	340	0
"1062"	20	18	39
"1063"	17	146	36
"1064"	2	98	0
"1065"	75	0	249
"1066"	16	15	12
"1067"	33	6	0
"1068"	2	274	11
"1069"	12	41	25
"1070"	0	48	0
"1071"	0	900	0
"1072"	22	492	19
"1073"	123	123	59
"1074"	2256	18122	1283
"1075"	48	208	44
"1076"	538	2529	7980
"1077"	4	211	0
"1078"	32	0	30
"1079"	0	0	0
"1080"	0	57	0
"1081"	18	248	39
"1082"	0	0	0
"1083"	39	346	130
"1084"	29	10	49
"1085"	50	14	133
"1086"	26	12	37
"1087"	55	15	70
"1088"	0	29	0
"1089"	0	40	0
"1090"	0	1174	0
"1091"	0	69	0
"1092"	64	276	25
"1093"	63	336	170
"1094"	30	44	275
"1095"	0	0	0
"1096"	19	38	45
"1097"	98	74	55
"1098"	158	22	41
"1099"	0	1	5
"1100"	36	22	4
"1101"	43	75	21
"1102"	0	2	0
"1103"	259	1462	818
"1104"	10	269	80
"1105"	0	2	0
"1106"	0	15	0
"1107"	3	34	93
"1108"	0	173	0
"1109"	13	75	39
"1110"	229	26	976
"1111"	0	37	0
"1112"	18	33	66
"1113"	4	0	13
"1114"	13	59	0
"1115"	0	0	0
"1116"	5322	75	4339
"1117"	1	0	3
"1118"	31	1	29
"1119"	0	324	0
"1120"	17	5	6
"1121"	3	35	2
"1122"	4	0	3
"1123"	30	40	24
"1124"	0	3	5
"1125"	209	385	359
"1126"	3958	10300	28998
"1127"	37	102	16
"1128"	451	824	489
"1129"	456	228	6924
"1130"	1	102	0
"1131"	0	46	0
"1132"	80	309	53
"1133"	5	203	3
"1134"	0	0	592
"1135"	0	82	0
"1136"	29	602	17
"1137"	0	118	0
"1138"	0	139	0
"1139"	0	77	13
"1140"	84	286	102
"1141"	59	5	62
"1142"	4	111	16
"1143"	0	60	0
"1144"	72	384	31
"1145"	55	0	34
"1146"	10	534	19
"1147"	16	239	68
"1148"	1118	0	10722
"1149"	40	47	223
"1150"	38	2	3
"1151"	92	2	45
"1152"	5	8	0
"1153"	0	95	2
"1154"	0	8763	80
"1155"	0	225	0
"1156"	17	38	47
"1157"	0	20	0
"1158"	12	41	26
"1159"	9	9	31
"1160"	354	562	559
"1161"	165	85	107
"1162"	307	1612	363
"1163"	8163	24531	21659
"1164"	0	191	4
"1165"	12	10	0
"1166"	0	2	0
"1167"	6	23	5
"1168"	6	429	24
"1169"	94	264	367
"1170"	0	3	0
"1171"	19	39	212
"1172"	3	11	331
"1173"	1909	240	1083
"1174"	0	85	0
"1175"	64	78	77
"1176"	6	26	17
"1177"	0	2	0
"1178"	0	86	0
"1179"	0	0	0
"1180"	3	142	24
"1181"	1	50	21
"1182"	396	103	778
"1183"	0	5	0
"1184"	18	290	54
"1185"	0	0	0
"1186"	0	0	0
"1187"	25	7	97
"1188"	109	42	159
"1189"	23	41	10
"1190"	0	7	0
"1191"	0	77	0
"1192"	0	0	0
"1193"	0	3209	0
"1194"	133	339	466
"1195"	2601	316	1295
"1196"	0	430	47
"1197"	556	0	150
"1198"	1009	66	944
"1199"	0	155	4
"1200"	0	244	0
"1201"	24	579	9
"1202"	0	27	0
"1203"	10	7	9
"1204"	206	18	7
"1205"	0	134	5
"1206"	4	960	0
"1207"	54	21	40
"1208"	4	35	2
"1209"	85	2	10
"1210"	35	32	35
"1211"	0	182	0
"1212"	0	0	2
"1213"	0	580	0
"1214"	0	0	19
"1215"	0	671	2
"1216"	0	2	0
"1217"	4	32	9
"1218"	0	7	0
"1219"	32	76	8
"1220"	116	18	44
"1221"	0	214	0
"1222"	228	3	48
"1223"	12	11	5
"1224"	19	107	131
"1225"	44	0	51
"1226"	0	23	0
"1227"	90	27	137
"1228"	21	0	4
"1229"	2	26	0
"1230"	293	66	9203
"1231"	59	80	430
"1232"	7	17	2
"1233"	51	10319	159
"1234"	50	36	17
"1235"	2	127	3
"1236"	0	23	2
"1237"	47	11	131
"1238"	78	50	0
"1239"	46	41	12
"1240"	25	85	0
"1241"	8	30	13
"1242"	19	76	1216
"1243"	0	474	0
"1244"	0	16	0
"1245"	10	672	0
"1246"	0	91	2
"1247"	4	4	15
"1248"	55	59	68
"1249"	9	343	21
"1250"	0	81	0
"1251"	0	13	0
"1252"	14	60	20
"1253"	8	19	2
"1254"	0	774	0
"1255"	52	398	31
"1256"	9	243	14
"1257"	267	926	89
"1258"	16	893	14
"1259"	26	2	33
"1260"	2648	30	426
"1261"	0	189	0
"1262"	191	32	24
"1263"	0	53	2
"1264"	17	46	15
"1265"	11	38	45
"1266"	14	37	74
"1267"	11	67	24
"1268"	0	4	81
"1269"	15	26	7
"1270"	0	1354	0
"1271"	2	36	6
"1272"	764	7	8
"1273"	0	164	0
"1274"	3	128	2
"1275"	31	48	9
"1276"	0	109	0
"1277"	5	102	18
"1278"	5	88	0
"1279"	61	103	7
"1280"	0	3125	0
"1281"	23	132	0
"1282"	12	52	12
"1283"	0	1763	9
"1284"	2436	159	277
"1285"	103	30	314
"1286"	151	163	245
"1287"	7	274	2
"1288"	0	2	5
"1289"	2	97	0
"1290"	0	4521	30
"1291"	29	55	41
"1292"	0	4	16
"1293"	0	133	0
"1294"	0	133	0
"1295"	0	112	0
"1296"	429	26	11
"1297"	0	0	0
"1298"	0	195	3
"1299"	657	9	131
"1300"	18	277	13
"1301"	38	50	70
"1302"	13	3451	50
"1303"	0	8	0
"1304"	125	0	10
"1305"	44	42	416
"1306"	0	33	0
"1307"	492	6	738
"1308"	0	141	0
