T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
22,103;21,939;21,743;21,536;21,447;21,477;100,00;100,00;100,00;100,00;100,00;100,00
22,163;21,936;21,799;21,516;21,429;21,412;100,00;100,00;100,00;100,00;100,00;100,00
22,191;21,84;21,764;21,524;21,45;21,446;100,00;100,00;100,00;100,00;100,00;100,00
22,139;21,959;21,692;21,475;21,395;21,401;100,00;100,00;100,00;100,00;100,00;100,00
22,185;21,858;21,694;21,473;21,422;21,419;100,00;100,00;100,00;100,00;100,00;100,00
22,13;21,837;21,728;21,519;21,426;21,403;100,00;100,00;100,00;100,00;100,00;100,00
22,114;21,718;21,591;21,499;21,413;21,395;100,00;100,00;100,00;100,00;100,00;100,00
22,05;21,789;21,752;21,498;21,403;21,369;100,00;100,00;100,00;100,00;100,00;100,00
22,155;21,805;21,669;21,453;21,418;21,369;100,00;100,00;100,00;100,00;100,00;100,00
22,094;21,648;21,591;21,527;21,461;21,425;100,00;100,00;100,00;100,00;100,00;100,00
22,012;21,725;21,663;21,481;21,416;21,398;100,00;100,00;100,00;100,00;100,00;100,00
22,096;21,924;21,73;21,47;21,41;21,418;100,00;100,00;100,00;100,00;100,00;100,00
22,172;21,892;21,739;21,459;21,376;21,389;100,00;100,00;100,00;100,00;100,00;100,00
22,108;21,704;21,64;21,425;21,389;21,375;100,00;100,00;100,00;100,00;100,00;100,00
21,913;21,633;21,541;21,447;21,395;21,385;100,00;100,00;100,00;100,00;100,00;100,00
21,956;21,599;21,55;21,464;21,401;21,386;100,00;100,00;100,00;100,00;100,00;100,00
22,099;21,667;21,67;21,486;21,415;21,404;100,00;100,00;100,00;100,00;100,00;100,00
22,176;21,823;21,685;21,455;21,364;21,373;100,00;100,00;100,00;100,00;100,00;100,00
22,181;21,767;21,71;21,395;21,34;21,352;100,00;100,00;100,00;100,00;100,00;100,00
22,126;21,703;21,7;21,394;21,334;21,329;100,00;100,00;100,00;100,00;100,00;100,00
22,178;21,847;21,651;21,41;21,333;21,327;100,00;100,00;100,00;100,00;100,00;100,00
22,228;21,813;21,678;21,37;21,296;21,302;100,00;100,00;100,00;100,00;100,00;100,00
22,096;21,679;21,73;21,37;21,339;21,308;100,00;100,00;100,00;100,00;100,00;100,00
22,087;21,722;21,679;21,404;21,329;21,326;100,00;100,00;100,00;100,00;100,00;100,00
22,087;21,651;21,679;21,409;21,382;21,349;100,00;100,00;100,00;100,00;100,00;100,00
22,014;21,612;21,664;21,459;21,429;21,311;100,00;100,00;100,00;100,00;100,00;100,00
21,941;21,609;21,569;21,437;21,277;21,324;100,00;100,00;100,00;100,00;100,00;100,00
21,837;21,542;21,464;21,351;21,283;21,272;100,00;100,00;100,00;100,00;100,00;100,00
21,852;21,523;21,456;21,364;21,278;21,285;100,00;100,00;100,00;100,00;100,00;100,00
22,021;21,572;21,6;21,336;21,28;21,275;100,00;100,00;100,00;100,00;100,00;100,00
21,983;21,739;21,611;21,323;21,287;21,284;100,00;100,00;100,00;100,00;100,00;100,00
21,997;21,522;21,459;21,412;21,334;21,312;100,00;100,00;100,00;100,00;100,00;100,00
21,942;21,523;21,486;21,364;21,306;21,293;100,00;100,00;100,00;100,00;100,00;100,00
22,006;21,612;21,541;21,386;21,345;21,302;100,00;100,00;100,00;100,00;100,00;100,00
21,907;21,53;21,468;21,388;21,297;21,309;100,00;100,00;100,00;100,00;100,00;100,00
21,988;21,685;21,487;21,351;21,327;21,3;100,00;100,00;100,00;100,00;100,00;100,00
